4	header
postResults v2.0.1	Myself_tensionX.spectralOut --increments --range 0 400 100 --separation x,y,z --split --cr texture,f,p,orientation,grainrotation
addStrainTensors v2.0.1	Myself_tensionX_inc000.txt --left --logarithmic
addCauchy v2.0.1	Myself_tensionX_inc000.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_orientation	2_orientation	3_orientation	4_orientation	1_grainrotation	2_grainrotation	3_grainrotation	4_grainrotation	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy
0	240	254	1	1	15.5	14.5	0.5	7.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05	0.458516595377	0.701036693345	-0.542096400971	0.0666451678785	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05
0	241	256	1	1	0.5	15.5	0.5	7.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05	0.458516595377	0.701036693345	-0.542096400971	0.0666451678785	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05
0	242	257	1	1	1.5	15.5	0.5	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-5.40343176694e-07	-5.03572321634e-06	2.09422081894e-06	-5.03572321634e-06	4.43243155383e-06	4.78669940994e-06	2.09422081894e-06	4.78669940994e-06	-3.89208837714e-06	-0.208701695638	0.69365885051	0.6887296364	-0.0305366876164	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.40343176694e-07	-5.03572321634e-06	2.09422081894e-06	-5.03572321634e-06	4.43243155383e-06	4.78669940994e-06	2.09422081894e-06	4.78669940994e-06	-3.89208837714e-06
0	243	258	1	1	2.5	15.5	0.5	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-5.40343176694e-07	-5.03572321634e-06	2.09422081894e-06	-5.03572321634e-06	4.43243155383e-06	4.78669940994e-06	2.09422081894e-06	4.78669940994e-06	-3.89208837714e-06	-0.208701695638	0.69365885051	0.6887296364	-0.0305366876164	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.40343176694e-07	-5.03572321634e-06	2.09422081894e-06	-5.03572321634e-06	4.43243155383e-06	4.78669940994e-06	2.09422081894e-06	4.78669940994e-06	-3.89208837714e-06
0	244	259	1	1	3.5	15.5	0.5	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-5.40343176694e-07	-5.03572321634e-06	2.09422081894e-06	-5.03572321634e-06	4.43243155383e-06	4.78669940994e-06	2.09422081894e-06	4.78669940994e-06	-3.89208837714e-06	-0.208701695638	0.69365885051	0.6887296364	-0.0305366876164	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-5.40343176694e-07	-5.03572321634e-06	2.09422081894e-06	-5.03572321634e-06	4.43243155383e-06	4.78669940994e-06	2.09422081894e-06	4.78669940994e-06	-3.89208837714e-06
0	245	260	1	1	4.5	15.5	0.5	6.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.54749952877e-05	-1.12980624527e-05	1.33174591776e-06	-1.12980624527e-05	1.90183419901e-05	5.16355680202e-07	1.33174591776e-06	5.16355680202e-07	2.54347277168e-05	-0.0223981923493	0.950945710453	0.30763287608	-0.0237189861812	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54749952877e-05	-1.12980624527e-05	1.33174591776e-06	-1.12980624527e-05	1.90183419901e-05	5.16355680202e-07	1.33174591776e-06	5.16355680202e-07	2.54347277168e-05
0	246	261	1	1	5.5	15.5	0.5	9.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-6.24765244034e-05	-1.92212209628e-06	-7.48406895933e-06	-1.92212209628e-06	-2.56586572931e-05	9.60629248407e-06	-7.48406895933e-06	9.60629248407e-06	-2.42748995468e-05	-0.401038601837	-0.310689585102	0.819511452791	0.266535176461	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.24765244034e-05	-1.92212209628e-06	-7.48406895933e-06	-1.92212209628e-06	-2.56586572931e-05	9.60629248407e-06	-7.48406895933e-06	9.60629248407e-06	-2.42748995468e-05
0	247	262	1	1	6.5	15.5	0.5	9.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-6.24765244034e-05	-1.92212209628e-06	-7.48406895933e-06	-1.92212209628e-06	-2.56586572931e-05	9.60629248407e-06	-7.48406895933e-06	9.60629248407e-06	-2.42748995468e-05	-0.401038601837	-0.310689585102	0.819511452791	0.266535176461	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.24765244034e-05	-1.92212209628e-06	-7.48406895933e-06	-1.92212209628e-06	-2.56586572931e-05	9.60629248407e-06	-7.48406895933e-06	9.60629248407e-06	-2.42748995468e-05
0	248	263	1	1	7.5	15.5	0.5	9.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-6.24765244034e-05	-1.92212209628e-06	-7.48406895933e-06	-1.92212209628e-06	-2.56586572931e-05	9.60629248407e-06	-7.48406895933e-06	9.60629248407e-06	-2.42748995468e-05	-0.401038601837	-0.310689585102	0.819511452791	0.266535176461	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-6.24765244034e-05	-1.92212209628e-06	-7.48406895933e-06	-1.92212209628e-06	-2.56586572931e-05	9.60629248407e-06	-7.48406895933e-06	9.60629248407e-06	-2.42748995468e-05
0	249	264	1	1	8.5	15.5	0.5	18.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.19991822205e-05	1.0920911639e-05	-2.09938907336e-06	1.0920911639e-05	2.85736213382e-05	-4.63687972342e-07	-2.09938907336e-06	-4.63687972342e-07	2.93552614359e-05	0.647943553812	-0.0932428839872	0.446753077381	0.609825059758	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19991822205e-05	1.0920911639e-05	-2.09938907336e-06	1.0920911639e-05	2.85736213382e-05	-4.63687972342e-07	-2.09938907336e-06	-4.63687972342e-07	2.93552614359e-05
0	250	265	1	1	9.5	15.5	0.5	18.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.19991822205e-05	1.0920911639e-05	-2.09938907336e-06	1.0920911639e-05	2.85736213382e-05	-4.63687972342e-07	-2.09938907336e-06	-4.63687972342e-07	2.93552614359e-05	0.647943553812	-0.0932428839872	0.446753077381	0.609825059758	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19991822205e-05	1.0920911639e-05	-2.09938907336e-06	1.0920911639e-05	2.85736213382e-05	-4.63687972342e-07	-2.09938907336e-06	-4.63687972342e-07	2.93552614359e-05
0	251	266	1	1	10.5	15.5	0.5	3.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	-2.66233961324e-05	-5.70031597728e-09	-8.07694068971e-06	-5.70031597728e-09	-8.83660772907e-06	-1.63114136748e-06	-8.07694068971e-06	-1.63114136748e-06	-9.50402863582e-06	0.0845281736688	-0.447668127988	0.84888063111	0.268048333638	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.66233961324e-05	-5.70031597728e-09	-8.07694068971e-06	-5.70031597728e-09	-8.83660772907e-06	-1.63114136748e-06	-8.07694068971e-06	-1.63114136748e-06	-9.50402863582e-06
0	252	267	1	1	11.5	15.5	0.5	14.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.96404134838e-05	-1.08441966927e-05	-6.70538422909e-06	-1.08441966927e-05	6.47325038439e-05	-5.58945831166e-06	-6.70538422909e-06	-5.58945831166e-06	3.05191801643e-05	-0.558877817028	0.803769548436	-0.120590310581	-0.164523784408	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96404134838e-05	-1.08441966927e-05	-6.70538422909e-06	-1.08441966927e-05	6.47325038439e-05	-5.58945831166e-06	-6.70538422909e-06	-5.58945831166e-06	3.05191801643e-05
0	253	268	1	1	12.5	15.5	0.5	14.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.96404134838e-05	-1.08441966927e-05	-6.70538422909e-06	-1.08441966927e-05	6.47325038439e-05	-5.58945831166e-06	-6.70538422909e-06	-5.58945831166e-06	3.05191801643e-05	-0.558877817028	0.803769548436	-0.120590310581	-0.164523784408	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96404134838e-05	-1.08441966927e-05	-6.70538422909e-06	-1.08441966927e-05	6.47325038439e-05	-5.58945831166e-06	-6.70538422909e-06	-5.58945831166e-06	3.05191801643e-05
0	254	269	1	1	13.5	15.5	0.5	14.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.96404134838e-05	-1.08441966927e-05	-6.70538422909e-06	-1.08441966927e-05	6.47325038439e-05	-5.58945831166e-06	-6.70538422909e-06	-5.58945831166e-06	3.05191801643e-05	-0.558877817028	0.803769548436	-0.120590310581	-0.164523784408	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96404134838e-05	-1.08441966927e-05	-6.70538422909e-06	-1.08441966927e-05	6.47325038439e-05	-5.58945831166e-06	-6.70538422909e-06	-5.58945831166e-06	3.05191801643e-05
0	255	270	1	1	14.5	15.5	0.5	7.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05	0.458516595377	0.701036693345	-0.542096400971	0.0666451678785	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05
0	256	271	1	1	15.5	15.5	0.5	7.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05	0.458516595377	0.701036693345	-0.542096400971	0.0666451678785	0.0	0.0	0.0	180.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.94034470715e-05	4.65309079341e-06	1.02302891644e-06	4.65309079341e-06	6.5594577437e-05	7.50178019342e-06	1.02302891644e-06	7.50178019342e-06	4.48581054808e-05
